Open,High,Low,Close,Volume,Timestamp
47146.02,47171.19,47146.02,47171.19,0.124957,2022-01-03T10:39:00Z
47160.17,47176.85,47158.31,47173.26,0.351108,2022-01-03T10:40:00Z
47170.97,47183.18,47170.97,47183.18,0.010421,2022-01-03T10:41:00Z
47182.1,47182.1,47182.1,47182.1,0.000384,2022-01-03T10:42:00Z
47182.62,47214.34,47177.38,47177.38,0.435636,2022-01-03T10:43:00Z
47174.2,47186.83,47167.88,47186.83,0.549033,2022-01-03T10:44:00Z
47182.02,47182.02,47175.8,47175.8,0.002143,2022-01-03T10:45:00Z
47178.93,47241.65,47178.93,47210.32,1.155882,2022-01-03T10:46:00Z
47207.21,47241.75,47207.21,47238.16,0.178355,2022-01-03T10:47:00Z
47235.67,47235.67,47212.04,47212.04,0.038334,2022-01-03T10:48:00Z
47230.42,47230.47,47206.46,47206.46,0.029514,2022-01-03T10:49:00Z
47193.66,47194.08,47166.42,47175.76,0.284148,2022-01-03T10:50:00Z
47164.21,47168.78,47163.32,47168.78,0.164017,2022-01-03T10:51:00Z
47154.12,47158.78,47154.12,47158.78,0.001745,2022-01-03T10:52:00Z
47165.62,47165.62,47139.26,47139.26,0.34542,2022-01-03T10:55:00Z
47140.72,47145.27,47140.72,47142.45,0.099767,2022-01-03T10:56:00Z
47147.51,47147.51,47133.1,47133.1,0.00367,2022-01-03T10:57:00Z
47142.27,47142.27,47142.27,47142.27,0.001905,2022-01-03T10:58:00Z
47140.55,47193.09,47140.55,47178.19,1.421708,2022-01-03T11:00:00Z
47178.16,47251.57,47178.16,47243.25,2.105012,2022-01-03T11:01:00Z
47242.81,47243.71,47207.23,47216.64,0.101368,2022-01-03T11:02:00Z
47217.1,47231.26,47212.37,47229.8,0.164154,2022-01-03T11:03:00Z
47215.81,47295.44,47215.81,47295.44,0.687329,2022-01-03T11:04:00Z
47283.61,47339.51,47283.61,47301.43,0.560291,2022-01-03T11:05:00Z
47302.99,47302.99,47277.91,47294.49,0.179854,2022-01-03T11:06:00Z
47293.31,47315.74,47293.31,47297.01,0.587307,2022-01-03T11:07:00Z
47281.36,47281.69,47258.89,47258.89,0.066444,2022-01-03T11:08:00Z
47256.52,47293.15,47249.17,47283.2,0.391298,2022-01-03T11:09:00Z
47270.22,47284.91,47270.22,47282.54,0.511287,2022-01-03T11:10:00Z
47284.91,47299.48,47284.91,47284.94,0.266498,2022-01-03T11:11:00Z
47291.06,47298.84,47291.06,47293.35,0.068802,2022-01-03T11:12:00Z
47290.03,47326.52,47289.51,47323.16,0.271036,2022-01-03T11:13:00Z
47331.15,47341.88,47331.15,47341.88,0.014395,2022-01-03T11:14:00Z
47343.71,47365.99,47339.86,47347.46,0.084607,2022-01-03T11:15:00Z
47347.46,47347.46,47302.63,47311.62,0.084284,2022-01-03T11:16:00Z
47313.75,47313.75,47296.02,47296.02,0.079168,2022-01-03T11:17:00Z
47299.51,47309.33,47299.51,47304.24,0.04785,2022-01-03T11:18:00Z
47291.41,47291.41,47287.85,47289.78,0.01459,2022-01-03T11:19:00Z
47295.08,47304.24,47288.3,47304.24,0.108918,2022-01-03T11:20:00Z
47297.78,47317.73,47297.78,47317.73,0.011989,2022-01-03T11:21:00Z
47321.1,47338.21,47321.1,47337.25,0.026119,2022-01-03T11:22:00Z
47343.3,47358.45,47338.31,47356.63,0.053001,2022-01-03T11:23:00Z
47357.7,47357.7,47344.92,47344.92,0.040483,2022-01-03T11:24:00Z
47326.27,47333.28,47326.27,47331.38,0.012396,2022-01-03T11:26:00Z
47360.31,47388.06,47360.31,47388.06,0.03113,2022-01-03T11:27:00Z
47390.34,47400.33,47364.8,47364.8,0.163935,2022-01-03T11:28:00Z
47366.01,47366.6,47330.66,47335.08,0.714708,2022-01-03T11:29:00Z
47335.08,47354.5,47325.65,47325.65,0.19789,2022-01-03T11:30:00Z
47339.01,47341.39,47317.56,47317.56,0.018141,2022-01-03T11:31:00Z
47327.74,47327.74,47327.74,47327.74,0.005,2022-01-03T11:32:00Z
47313.09,47313.09,47303.81,47310.71,0.024187,2022-01-03T11:33:00Z
47319.35,47319.68,47316.2,47316.2,0.009458,2022-01-03T11:34:00Z
47300,47300,47255,47259.74,0.104197,2022-01-03T11:35:00Z
47277.16,47277.16,47268.65,47268.65,0.013805,2022-01-03T11:37:00Z
47268.69,47276.09,47268.64,47276.09,0.01832,2022-01-03T11:38:00Z
