Entry,Exit,PnL
2022-01-25T07:05:00Z,2022-01-25T08:03:00Z,16.84
2022-01-25T08:15:00Z,2022-01-25T14:33:00Z,26.73
2022-01-25T14:37:00Z,2022-01-25T15:02:00Z,21.13
2022-01-25T15:03:00Z,2022-01-25T15:15:00Z,9.73
2022-01-25T15:27:00Z,2022-01-25T20:30:00Z,2.77
2022-01-25T20:31:00Z,2022-01-25T23:48:00Z,29.93
2022-01-25T23:49:00Z,2022-01-25T23:56:00Z,0.51
2022-01-26T00:46:00Z,2022-01-26T03:07:00Z,5.02
2022-01-26T03:08:00Z,2022-01-26T04:05:00Z,-24.79
2022-01-26T04:18:00Z,2022-01-26T04:38:00Z,0.36
2022-01-26T04:39:00Z,2022-01-26T05:07:00Z,-8.17
2022-01-26T05:08:00Z,2022-01-26T05:42:00Z,0.43
2022-01-26T05:43:00Z,2022-01-26T06:27:00Z,19.67
2022-01-26T06:28:00Z,2022-01-26T08:34:00Z,7.70
2022-01-26T08:47:00Z,2022-01-26T09:02:00Z,3.35
2022-01-26T09:17:00Z,2022-01-26T14:45:00Z,-26.83
2022-01-26T15:03:00Z,2022-01-26T15:14:00Z,0.87
2022-01-26T15:15:00Z,2022-01-26T18:53:00Z,-28.88
2022-01-26T18:54:00Z,2022-01-26T19:15:00Z,25.53
2022-01-26T19:18:00Z,2022-01-26T20:29:00Z,-8.29
2022-01-26T20:31:00Z,2022-01-26T21:17:00Z,7.19
2022-01-26T21:20:00Z,2022-01-26T22:34:00Z,-34.34
2022-01-26T23:04:00Z,2022-01-27T01:08:00Z,-26.49
2022-01-27T01:19:00Z,2022-01-27T02:18:00Z,-58.94
2022-01-27T02:24:00Z,2022-01-27T02:46:00Z,5.92
2022-01-27T02:47:00Z,2022-01-27T03:39:00Z,-11.60
2022-01-27T03:40:00Z,2022-01-27T03:58:00Z,-13.50
2022-01-27T04:10:00Z,2022-01-27T06:32:00Z,0.77
2022-01-27T06:38:00Z,2022-01-27T07:10:00Z,-2.23
2022-01-27T07:15:00Z,2022-01-27T07:21:00Z,3.42
2022-01-27T07:47:00Z,2022-01-27T08:46:00Z,8.33
